1;Яйца;egg
2;Хлеб;bread
3;Сыр;cheese
4;Ветчина;ham
5;Сливочное масло;butter
6;Соль;salt
7;Молоко;milk
8;Чеснок;garlic
9;Лаваш;lavash
10;Колбаса;sausage
11;Сметана;smetana
12;Растительное масло;oil
13;Тортилья;tortilla
14;Кетчуп;ketchup
15;Помидор;tomato
16;Кефир;kefir
17;Сахар;sugar
18;Мука;flour
19;Сода;soda
20;Вода;water
21;Сливки 30%;cream-30
22;Сливки 20%;cream-20
23;Фарш;forcemeat
24;Фарш куриный;chicken-forcemeat
25;Сосиски;sausages
26;Морковь;carrot
27;Лук;onion
28;Творожный сыр;cottage-cheese
29;Грибы;mushroom
30;Майонез;mayonnaise
31;Сметана или майонез;smetana-or-mayonnaise
32;Картошка;potato
33;Лазанья;lasagna
34;Вермишель;noodles
35;Огурец;cucumber
36;Тунец;tuna
37;Крабовые палочки;crab-sticks
38;Моцарелла;mozzarella
39;Кипяток;hot-water
40;Куриное филе;chicken
41;Соленые огурцы;pickle
42;Бульон;bouillon
43;Томатная паста;tomato-paste
44;Молотый мускатный орех;ground-nutmeg
45;Куриные бедрышки;chicken-bedro
46;Капуста;cabbage
47;Свинина;pork
48;Свёкла;beet
49;Лимонный сок;lemon-juice
50;Филе красной рыбы;red-fish
51;Томаты черри;tomato-cherry
52;Плавленный сыр;cream-cheese
53;Рис;rice
54;Рис круглозерный;rice-circle
55;Разрыхлитель;baking-powder
56;Вода или молоко;water-or-milk
57;Дрожжи;yeasts
58;Кунжут;sesame
59;Желток;yolk
60;Слоеное тесто (бездрожжевое);dough
61;Слоеное тесто (дрожжевое);dough-yeasts
62;Тыквенные семечки;pumpkin-seed
63;Водка;vodka
64;Булочки для бургеров;burger-bun
65;Плавленный сыр;melt-cheese
66;Говядина;beef
67;Гречка;buckwheat
68;Творог;cottage
69;Ванильный сахар;vanilla-sugar
70;Куриные окорока;chicken-leg
71;Манка;semolina
73;Тушенка;stew
72;Панировочные сухари Панко;breadcrumbs
74;Макароны;pasta
75;Бекон;bacon
76;Птитим;ptitim
77;Крахмал;starch
78;Ванилин;vanillin
79;Креветки;shrimp
80;Наггетсы;nuggets
81;Салат;salad
82;Греческий йогурт;greek-yogurt
83;Соус Цезарь;caesar-sauce
84;Киндер;kinder
85;Какао;kakao
86;Шоколад;chocolate
87;Белок;belok
88;Кукурузный крахмал;corn-baking-powder
89;Сахарная пудра;sugar-powder
90;Вареная сгущенка;boiled-condensed-milk
91;Песочное печенье;shortbread-cookies
92;Кукурузный крахмал;corn-starch
93;Шоколадное печенье;chocolate-cookie
94;Орехи;nuts
95;Сгущенка;condensed-milk
96;Кокосовая стружка;coconut-chips
97;Маскарпоне;mascarpone
98;Соленый арахис;salted-peanut
99;Рисовая мука;rice-flour
100;Пищевой краситель;food-coloring
101;Ягодный джем;berry-jam
103;Сухарики;crouton
104;Копченая курица;smoked-chicken
102;Консервированная кукуруза;corn
105;Консервированные ананасы;canned-pineapple
109;Горчица;mustard
110;Теплая вода;warm-water
112;Апельсин;orange
113;Лимон;lemon
114;Лёд;ice
111;Персики;peach
115;Мёд или сахар;honey-or-sugar
116;Мёд;honey
117;Свежая мята;fresh-mint
118;Киви;kiwi
119;Салат айсберг;iceberg-salad
120;Сыр чеддер;cheddar
121;Рассол;pickle-brine
122;Лайм;lime
123;Клубника;strawberry
124;Печенье;biscuit
125;Быстрорастворимый желатин;instant-gelatin
203;Заправка;zapravka
204;Основа для 1 лепешки:;curd-lavash-with-smth-title
126;Горох сушёный;dried-pea
127;Ребрышки копчёные;smoked-ribs
128;Колбаски копчёные;smoked-sausage
129;Вареные яйца;boiled-egg
130;Арбуз;watermelon
131;Батон;baton
132;Квас;kvas
133;Моцарелла твёрдая;mozzarella-hard
134;Вареная колбаса;boiled-sausage
135;Горох;pea
136;Говяжий фарш;beef-forcemeat
137;Жаренный лук (который сушеный);fried-onions
138;Соевый соус;soy-sauce
139;Кабачок;zucchini
140;Кокосовое молоко;coconut-milk
141;Паста том ям;tom-yam-paste
142;Свиные ребра;pork-ribs
143;Сладкая паприка;sweet-paprika
144;Сухой чеснок;dried-garlic
145;Теплое молоко;warm-milk
146;Замороженный картофель;free
147;Соус шрирача;sriracha
106;Минеральная вода без газа;mineral-water-still
107;Минеральная вода с газом;mineral-water-gaze
148;Шоколадное песочное печенье;chocolate-shortbread-cookies
149;Желатин;gelatin
150;Белый шоколад;white-chocolate
151;Воздушная кукуруза;air-corn
152;Булгур;bulgur
153;Пломбир;plombir
154;Шоколадный сироп;chocolate-syrup
155;Карамельный сироп;caramel-syrup
156;Арахисовая паста;peanut-butter
157;Арахис;peanut
158;Взбитые сливки;air-creme
159;Банан;banana
160;Лососевая копченая икра;salmon-caviar-smoked
161;Карпачо;carpacho
162;Морковь по корейски;korea-carrot
194;Яблоки;apple
195;Кефир или молоко;kefir-or-milk
196;Овсяные хлопья;oatmeal
197;Апельсиновый сок;orange-juice
198;Малина;raspberry
199;Черная смородина;blackcurrant
200;или томатная паста;or-tomato-paste
201;Стейк из лосося;salmon-steak
202;Соус сладкий чили;sweet-chili-sauce
